"","y1","daynight","beta","se","ci2_5","ci97_5"
"1",1962,"both",0.0214385256682767,0.00366407327520577,0.0142570740121577,0.0286199773243957
"2",1962,"day",0.0290992325185707,0.0066879428333507,0.0159911054345405,0.0422073596026008
"3",1962,"night",0.0158315241153592,0.00211519382895778,0.0116858203902806,0.0199772278404379
"4",1982,"both",0.0194454923671401,0.00222203128090347,0.0150903910840479,0.0238005936502324
"5",1982,"day",0.0216276912905115,0.00392254785441997,0.0139396387682135,0.0293157438128095
"6",1982,"night",0.0179521114416752,0.00194381161754973,0.0141423106785472,0.0217619122048032
"7",2000,"both",0.0186924054499548,0.00194910479906624,0.0148722302416908,0.0225125806582188
"8",2000,"day",0.021758903937268,0.00327957426462093,0.0153310564939866,0.0281867513805495
"9",2000,"night",0.0170993811990217,0.00150833787157438,0.0141430932942181,0.0200556691038253
"10",2015,"both",0.0183133402049842,0.00260871379141529,0.0132003551278373,0.0234263252821311
"11",2015,"day",0.0195111283771784,0.00507037405570824,0.00957337783984395,0.0294488789145128
"12",2015,"night",0.0172687206726356,0.00173663200462465,0.0138649844891717,0.0206724568560995
